sn,Winner,Team 1 Position,Team 2 Position,Team 1_Afghanistan,Team 1_Australia,Team 1_Bangladesh,Team 1_England,Team 1_India,Team 1_Netherlands,Team 1_New Zealand,Team 1_Pakistan,Team 1_South Africa,Team 1_Sri Lanka,Team 2_Afghanistan,Team 2_Australia,Team 2_Bangladesh,Team 2_England,Team 2_India,Team 2_Netherlands,Team 2_New Zealand,Team 2_Pakistan,Team 2_South Africa,Team 2_Sri Lanka
462,no result,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
463,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
464,Australia,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
465,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
466,England,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
467,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
468,Australia,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
469,no result,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
470,Australia,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
471,Sri Lanka,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
472,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
473,New Zealand,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
474,Pakistan,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
475,Bangladesh,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
476,South Africa,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
477,India,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
478,New Zealand,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
479,England,5,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
480,Pakistan,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
481,India,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
482,South Africa,7,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
483,New Zealand,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
484,India,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
485,Afghanistan,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
486,Australia,4,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
487,Netherlands,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
488,New Zealand,6,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
489,India,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
490,Australia,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
491,Sri Lanka,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
492,South Africa,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
493,India,6,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
494,Afghanistan,8,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
495,South Africa,7,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
496,Australia,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
497,Sri Lanka,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
498,South Africa,8,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
499,Australia,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
500,Netherlands,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
501,India,10,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
502,Afghanistan,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
503,Pakistan,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
504,South Africa,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
