date,name,team,average,strike_rate,economy,wickets
13-10-2023,MJ Henry,New Zealand,14.66666667,18.5,4.752941176,2
13-10-2023,LH Ferguson,New Zealand,0,0,4.125,3
13-10-2023,MJ Santner,New Zealand,15.15,21.25,4.769672131,1
13-10-2023,GD Phillips,New Zealand,8.5,9,5.583333333,1
13-10-2023,R Ravindra,New Zealand,61,60.5,6.062295082,0
13-10-2023,DJ Mitchell,New Zealand,0,0,0,0
13-10-2023,Mustafizur Rahman,Bangladesh,28,42,5.5,2
13-10-2023,Shoriful Islam,Bangladesh,21.16666667,20.16666667,6.287704918,0
13-10-2023,Taskin Ahmed,Bangladesh,36,37.5,5.752489331,0
13-10-2023,Shakib Al Hasan,Bangladesh,31,38.5,4.432377049,1
13-10-2023,Mehedi Hasan Miraz,Bangladesh,8.333333333,18.33333333,5.946969697,0
14-10-2023,JJ Bumrah,India,14,23.875,3.592261905,2
14-10-2023,Mohammed Siraj,India,26,41,6.156984479,2
14-10-2023,HH Pandya,India,25.25,20,7.734848485,2
14-10-2023,Kuldeep Yadav,India,30.5,45,4.1,2
14-10-2023,RA Jadeja,India,11,20,3.976530612,2
14-10-2023,SN Thakur,India,31,38,4.894736842,0
14-10-2023,Shaheen Shah Afridi,Pakistan,52,51,5.988244514,2
14-10-2023,Hasan Ali,Pakistan,17.25,19.5,5.527173913,1
14-10-2023,Mohammad Nawaz,Pakistan,39.75,37.5,5.76984127,0
14-10-2023,Haris Rauf,Pakistan,23.16666667,24.58333333,5.451112412,0
14-10-2023,Shadab Khan,Pakistan,50,48.5,6.192602041,0
15-10-2023,CR Woakes,England,12.25,12,6.8125,0
15-10-2023,RJW Topley,England,11.25,15,4.5,2
15-10-2023,SM Curran,England,48,42,6.90617849,0
15-10-2023,AU Rashid,England,21,30,5.528571429,4
15-10-2023,MA Wood,England,14.5,30.5,6.748810153,2
15-10-2023,LS Livingstone,England,6.5,9,6.833333333,1
15-10-2023,JE Root,England,0,0,0,1
15-10-2023,Mujeeb Ur Rahman,Afghanistan,0,0,6.050420168,3
15-10-2023,Fazalhaq Farooqi,Afghanistan,10,16,5.929054054,1
15-10-2023,Naveen-ul-Haq,Afghanistan,31,36,6.083333333,1
15-10-2023,Mohammad Nabi,Afghanistan,0,0,5.459459459,2
15-10-2023,Rashid Khan,Afghanistan,14.5,12.25,6.217687075,3
15-10-2023,Azmatullah Omarzai,Afghanistan,9,12,6.33,0
16-10-2023,MA Starc,Australia,29.5,39.25,4.827807487,3
16-10-2023,JR Hazlewood,Australia,38.33333333,37.66666667,5.441148325,0
16-10-2023,PJ Cummins,Australia,35.5,27,6.494444444,2
16-10-2023,GJ Maxwell,Australia,8.75,15.5,3.756048387,1
16-10-2023,A Zampa,Australia,35,30.5,6.755122951,4
16-10-2023,MP Stoinis,Australia,0,0,5.5,0
16-10-2023,CBRLS Kumara,Sri Lanka,0,0,0,0
16-10-2023,D Madushanka,Sri Lanka,36.5,30.75,7.082097458,3
16-10-2023,M Theekshana,Sri Lanka,59,61,5.803278689,1
16-10-2023,DN Wellalage,Sri Lanka,81,62,7.019354839,1
16-10-2023,C Karunaratne,Sri Lanka,0,0,0,0
